participant_id,item_id,category,word_length,freq_rank,retention_level,recall_expected_answer,recall_response,recall_correct_gorilla,recognition_expected_answer,recognition_response,recognition_correct_gorilla,proficiency_score,exposure_composite,integrative_motivation_composite,multilingualism_count
16602613,6,concrete_noun,7,157,2,airgead,airgead,1,NA,NA,NA,80,3.2,3.5,0
16602613,7,concrete_noun,4,158,2,béal,beal,1,NA,NA,NA,80,3.2,3.5,0
16602613,8,concrete_noun,5,217,2,uisce,uisce,1,NA,NA,NA,80,3.2,3.5,0
16602613,9,concrete_noun,6,220,2,oileán,oilean,1,NA,NA,NA,80,3.2,3.5,0
16602613,10,concrete_noun,7,238,1,cathair,cathrach,0,city,city,1,80,3.2,3.5,0
16602613,11,concrete_noun,5,243,2,doras,doras,1,NA,NA,NA,80,3.2,3.5,0
16602613,12,concrete_noun,3,249,2,cos,cos,1,NA,NA,NA,80,3.2,3.5,0
16602613,13,concrete_noun,4,258,2,croí,croí,1,NA,NA,NA,80,3.2,3.5,0
16602613,14,concrete_noun,9,310,2,múinteoir,muinteoir,1,NA,NA,NA,80,3.2,3.5,0
16602613,15,concrete_noun,3,384,2,bia,bia,1,NA,NA,NA,80,3.2,3.5,0
16602613,16,abstract_noun,6,39,1,bliain,b,0,year,year,1,80,3.2,3.5,0
16602613,17,abstract_noun,2,59,2,lá,lá,1,NA,NA,NA,80,3.2,3.5,0
16602613,18,abstract_noun,5,72,2,taobh,taobh,1,NA,NA,NA,80,3.2,3.5,0
16602613,19,abstract_noun,5,83,2,scéal,scéal,1,NA,NA,NA,80,3.2,3.5,0
16602613,20,abstract_noun,3,84,2,tír,tír,1,NA,NA,NA,80,3.2,3.5,0
16602613,21,abstract_noun,4,85,2,saol,saol,1,NA,NA,NA,80,3.2,3.5,0
16602613,22,abstract_noun,5,89,2,ceist,ceist,1,NA,NA,NA,80,3.2,3.5,0
16602613,23,abstract_noun,6,115,2,teanga,teanga,1,NA,NA,NA,80,3.2,3.5,0
16602613,24,abstract_noun,5,126,2,oíche,oíche,1,NA,NA,NA,80,3.2,3.5,0
16602613,25,abstract_noun,4,127,2,aire,aire,1,NA,NA,NA,80,3.2,3.5,0
16602613,26,abstract_noun,5,132,2,eolas,eolas,1,NA,NA,NA,80,3.2,3.5,0
16602613,27,abstract_noun,9,142,2,seachtain,seachtain,1,NA,NA,NA,80,3.2,3.5,0
16602613,28,abstract_noun,6,278,2,aimsir,aimsir,1,NA,NA,NA,80,3.2,3.5,0
16602613,29,abstract_noun,5,381,2,gaoth,gaoth,1,NA,NA,NA,80,3.2,3.5,0
16602613,30,abstract_noun,4,456,2,dath,dath,1,NA,NA,NA,80,3.2,3.5,0
16602613,31,verb,4,17,2,cuir,cuir,1,NA,NA,NA,80,3.2,3.5,0
16602613,32,verb,4,20,2,déan,dean,1,NA,NA,NA,80,3.2,3.5,0
16602613,33,verb,7,24,2,tabhair,tabhair,1,NA,NA,NA,80,3.2,3.5,0
16602613,34,verb,3,33,1,tar,teacht,0,to come,come,0,80,3.2,3.5,0
16602613,35,verb,5,36,NA,faigh,fuair,0,to get/receive,leave,0,80,3.2,3.5,0
16602613,36,verb,5,41,2,téigh,téigh,1,NA,NA,NA,80,3.2,3.5,0
16602613,37,verb,4,76,1,feic,féach,0,to see,see,0,80,3.2,3.5,0
16602613,38,verb,4,88,0,féad,ábalta,0,to be able to,length,0,80,3.2,3.5,0
16602613,39,verb,6,101,2,éirigh,eirigh,1,NA,NA,NA,80,3.2,3.5,0
